#FORMAT:OffSys;RelQck;Mech;Touch;Acc;DecMak;BallH;Esc;Scr;RollR;RollL;ArmStr;PockPr;LocRec;BallSec;Matur;Footwk;RdKey;PlySpd;HandElem;LowStr;UppStr
#POS:QB#ROLE:None
WCP;1.3;1.3;1.3;1.3;1.4;0.6;0.7;0.5;0.5;0.5;0.8;1.4;1.3;1.0;0.9;1.1;1.1;1.2;0.8;1.0;1.0
WCR;1.1;1.1;1.1;1.1;1.3;0.9;0.9;0.9;0.9;0.9;0.8;1.0;1.0;1.3;1.0;0.8;0.9;1.2;0.8;1.0;1.0
WCB;1.2;1.3;1.2;1.3;1.4;0.6;0.9;0.5;0.5;0.5;0.8;1.4;1.3;1.0;0.9;1.1;1.1;1.2;0.8;1.0;1.0
SMA;1.2;1.3;1.2;1.2;1.3;0.8;0.9;0.5;0.5;0.5;0.8;1.2;1.2;1.2;1.0;1.1;1.1;1.0;1.2;0.9;0.9
BAP;1.1;1.1;1.1;1.1;1.1;1.0;0.9;0.8;0.8;0.8;1.0;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
BAR;1.1;1.1;1.1;1.1;1.1;1.0;0.9;0.8;0.8;0.8;1.0;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
SPP;1.5;1.0;1.0;1.5;1.5;1.0;0.5;0.3;0.3;0.3;1.0;1.0;1.5;1.0;1.0;1.1;1.5;1.2;0.8;1.0;1.0
SPR;1.3;1.0;1.0;1.3;1.3;1.0;0.5;0.5;0.5;0.5;1.0;1.0;1.5;1.0;1.0;1.1;1.5;1.2;0.8;1.0;1.0
SPB;1.4;1.0;1.0;1.4;1.4;1.0;0.5;0.4;0.4;0.4;1.0;1.0;1.5;1.0;1.0;1.1;1.5;1.2;0.8;1.0;1.0
RNS;1.4;1.4;1.4;1.4;1.2;1.0;0.5;0.3;0.3;0.3;1.0;1.0;1.2;1.0;1.0;1.0;1.5;1.2;0.8;1.0;1.0
MOP;1.0;1.0;1.1;1.0;1.1;1.0;1.0;1.0;1.0;1.0;1.0;0.8;1.0;1.0;1.0;1.0;1.0;1.2;0.8;1.0;1.0
MOR;0.9;0.9;0.9;0.9;0.9;1.0;1.2;1.2;1.2;1.2;1.0;0.8;0.9;1.0;1.0;1.0;1.0;1.2;0.8;1.0;1.0
MOB;1.0;1.0;1.0;1.0;1.0;1.0;1.1;1.1;1.1;1.0;1.0;0.8;0.9;1.0;1.0;1.0;1.0;1.2;0.8;1.0;1.0
