#FORMAT:OffSys;AdjBall;BallSec;BodCat;BrkTck;COD;ConBal;DelBlw;Dur;Expl;Flex;Footwk;Hands;JumpAb;LowStr;PBPwr;PBSpd;PlySpd;QAB;Pat;RunVis;SetUpBlk;React;ReadKey;RelOffLine;RouteRun;RunBlk;Stam;Tough;UppStr
#POS:RB#ROLE:2nd
WCP;0.8;1.5;0.8;0.6;1.5;0.8;0.0;1.0;1.5;1.5;0.7;1.5;0.5;0.3;0.5;0.5;0.8;1.5;1.5;1.5;1.5;1.5;0.7;1.0;2.0;0.5;1.0;1.0;0.5
WCR;0.8;1.5;0.9;0.6;1.0;0.8;0.7;1.0;1.5;1.5;0.7;1.4;0.5;0.6;0.5;0.5;0.8;1.1;1.7;1.7;1.7;1.5;0.7;1.0;1.3;0.5;1.0;1.0;0.5
WCB;0.8;1.5;0.9;0.8;1.2;1.0;0.3;1.0;1.5;1.5;1.0;1.0;0.5;1.0;0.5;0.5;0.8;1.2;1.5;1.6;1.5;1.5;0.8;1.0;1.1;0.5;1.0;1.0;0.5
SMA;0.8;1.5;0.9;0.8;1.2;1.0;0.3;1.0;1.5;1.5;1.0;1.0;0.5;1.0;0.5;0.5;0.8;1.2;1.5;1.6;1.5;1.5;0.8;1.0;1.1;0.5;1.0;1.0;0.5
SPP;1.2;1.0;1.0;0.5;1.5;0.8;0.0;1.0;1.6;1.6;0.7;1.6;0.5;0.3;0.5;0.5;1.0;1.5;1.4;1.4;1.4;1.6;0.7;1.0;2.0;0.2;1.0;1.0;0.5
SPR;1.0;1.0;0.4;1.0;1.1;1.0;1.2;1.0;1.5;1.6;1.0;0.8;0.5;1.0;0.5;0.5;0.8;1.1;1.7;1.7;1.7;1.5;0.7;1.0;0.8;0.2;1.0;1.2;0.5
SPB;1.2;1.0;1.0;0.8;1.3;1.0;0.0;1.0;1.6;1.6;0.9;1.2;0.5;0.3;0.5;0.5;1.0;1.3;1.5;1.5;1.5;1.6;1.0;1.0;1.5;0.2;1.0;1.0;0.5
RNS;0.8;1.0;0.8;1.1;1.1;1.0;1.0;1.0;1.6;1.6;0.8;1.2;0.5;1.0;0.5;0.5;1.0;1.1;1.3;1.3;1.3;1.6;1.0;1.0;1.2;0.2;1.0;1.0;0.5
MOP;0.8;1.1;1.0;1.2;1.0;1.0;0.8;1.0;1.5;1.5;1.0;1.2;0.5;1.0;0.5;0.5;1.1;1.0;1.2;1.2;1.2;1.5;1.0;1.0;1.2;0.5;1.0;1.0;0.5
MOR;0.8;1.1;1.0;1.2;1.0;1.0;1.0;1.0;1.5;1.5;1.0;0.8;0.5;1.0;0.5;0.5;1.1;1.0;1.4;1.4;1.4;1.5;1.0;1.0;0.8;0.5;1.0;1.0;0.5
MOB;0.8;1.1;1.0;1.2;1.0;1.0;0.9;1.0;1.5;1.5;1.0;1.0;0.5;1.0;0.5;0.5;1.1;1.0;1.3;1.3;1.3;1.5;1.0;1.0;0.5;1.0;1.0;1.0;0.5
