#FORMAT:OffSys;AdjBall;BallSec;BodCat;BrkTck;COD;ConBal;DelBlw;Dur;Expl;Flex;Footwk;Hands;JumpAb;LowStr;PBPwr;PBSpd;PlySpd;QAB;Pat;RunVis;SetUpBlk;React;ReadKey;RelOffLine;RouteRun;RunBlk;Stam;Tough;UppStr
#POS:RB#ROLE:3rdD
WCP;1.0;1.5;1.5;0.5;1.0;0.5;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.3;1.1;1.2;1.0;1.0;0.8;0.8;0.8;1.5;1.0;1.5;2.0;0.5;0.5;1.0;0.5
WCR;1.0;1.5;1.5;0.5;1.0;0.5;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.3;1.1;1.2;1.0;1.0;0.8;0.8;0.8;1.5;1.0;1.5;2.0;0.5;0.5;1.0;0.5
WCB;1.0;1.5;1.5;0.5;1.0;0.5;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.3;1.1;1.2;1.0;1.0;0.8;0.8;0.8;1.5;1.0;1.5;2.0;0.5;0.5;1.0;0.5
SMA;1.0;1.5;1.2;0.7;1.0;0.6;0.0;1.0;1.5;1.5;1.0;1.6;0.5;0.8;1.1;1.2;1.0;1.0;1.0;1.0;1.0;1.5;1.0;1.5;1.6;0.5;0.5;1.0;0.5
BAP;1.0;1.1;1.3;0.7;1.0;0.7;0.0;1.0;1.5;1.5;1.0;1.9;0.5;0.7;1.0;1.0;1.0;1.0;0.9;0.9;0.9;1.5;1.0;1.5;1.9;0.5;0.5;1.0;0.5
BAR;1.0;1.1;1.3;0.7;1.0;0.7;0.0;1.0;1.5;1.5;1.0;1.9;0.5;0.7;1.0;1.0;1.0;1.0;0.9;0.9;0.9;1.5;1.0;1.5;1.9;0.5;0.5;1.0;0.5
SPP;1.0;1.0;1.5;0.5;1.3;0.5;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.3;1.0;1.0;1.0;1.3;0.8;0.8;0.8;1.6;1.0;1.5;2.2;0.2;0.5;1.1;0.6
SPR;1.0;1.0;1.5;0.5;1.6;0.5;0.0;1.0;1.5;1.5;1.0;1.8;0.5;0.3;0.7;0.7;1.0;1.6;1.0;1.0;1.0;1.6;1.0;1.5;1.8;0.2;0.5;1.1;0.6
SPB;1.0;1.0;1.5;0.5;1.4;0.5;0.0;1.0;1.5;1.5;1.0;1.9;0.5;0.3;0.9;0.9;1.0;1.4;1.0;0.9;0.9;1.6;1.0;1.5;1.9;0.2;0.5;1.1;0.6
RNS;1.2;1.0;1.2;0.5;1.3;1.0;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.3;1.2;1.2;1.0;1.3;0.6;0.6;0.6;1.6;1.0;1.5;2.0;0.2;0.5;1.1;0.6
MOP;1.1;1.1;1.3;0.7;1.1;0.7;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.7;1.2;1.2;1.0;1.1;0.6;0.6;0.6;1.5;1.0;1.5;2.0;0.5;0.5;1.0;0.5
MOR;1.1;1.1;1.3;0.7;1.1;0.7;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.7;1.2;1.2;1.0;1.1;0.6;0.6;0.6;1.5;1.0;1.5;2.0;0.5;0.5;1.0;0.5
MOB;1.1;1.1;1.3;0.7;1.1;0.7;0.0;1.0;1.5;1.5;1.0;2.0;0.5;0.7;1.2;1.2;1.0;1.1;0.6;0.6;0.6;1.5;1.5;2.0;0.5;0.5;1.0;1.0;0.5

